"ensembl_id","ensembl_gene_id","gene_name","gene_biotype","entrezid","description"
"ENSDARG00000053498","ENSDARG00000053498","ednrbb","protein_coding",560081,"endothelin receptor type Bb [Source:ZFIN;Acc:ZDB-GENE-081105-182]"
"ENSDARG00000053499","ENSDARG00000053499","isl2b","protein_coding",30151,"ISL LIM homeobox 2b [Source:ZFIN;Acc:ZDB-GENE-990415-133]"
"ENSDARG00000053500","ENSDARG00000053500","cbsa","protein_coding",550524,"cystathionine-beta-synthase a [Source:ZFIN;Acc:ZDB-GENE-050417-367]"
"ENSDARG00000053502","ENSDARG00000053502","cryaa","protein_coding",100000769,"crystallin, alpha A [Source:ZFIN;Acc:ZDB-GENE-020508-1]"
"ENSDARG00000053505","ENSDARG00000053505","fbxo22","protein_coding",556909,"F-box protein 22 [Source:ZFIN;Acc:ZDB-GENE-040724-68]"
"ENSDARG00000053509","ENSDARG00000053509","kazald3","protein_coding",100000101,"Kazal-type serine peptidase inhibitor domain 3 [Source:ZFIN;Acc:ZDB-GENE-050208-155]"
"ENSDARG00000053512","ENSDARG00000053512","crybb2","protein_coding",553182,"crystallin, beta B2 [Source:ZFIN;Acc:ZDB-GENE-060130-1]"
"ENSDARG00000053517","ENSDARG00000053517","EML5","protein_coding",570011,"echinoderm microtubule associated protein like 5 [Source:HGNC Symbol;Acc:HGNC:18197]"
"ENSDARG00000053518","ENSDARG00000053518","adhfe1","protein_coding",404618,"alcohol dehydrogenase, iron containing, 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2070]"
"ENSDARG00000053520","ENSDARG00000053520","LO017829.1","protein_coding",100006770,"testis expressed 47 [Source:NCBI gene;Acc:100006770]"
"ENSDARG00000053525","ENSDARG00000053525","enpp7.2","protein_coding",557817,"ectonucleotide pyrophosphatase/phosphodiesterase 7, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-130531-2]"
"ENSDARG00000053526","ENSDARG00000053526","enpp7.1","protein_coding",557756,"ectonucleotide pyrophosphatase/phosphodiesterase 7, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040724-13]"
"ENSDARG00000053527","ENSDARG00000053527","snx24","protein_coding",619249,"sorting nexin 24 [Source:ZFIN;Acc:ZDB-GENE-050913-45]"
"ENSDARG00000053528","ENSDARG00000053528","nog3","protein_coding",30173,"noggin 3 [Source:ZFIN;Acc:ZDB-GENE-990714-8]"
"ENSDARG00000053530","ENSDARG00000053530","cyp4f3","protein_coding",100037390,"cytochrome P450, family 4, subfamily F, polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-070410-108]"
"ENSDARG00000053535","ENSDARG00000053535","lmo7b","protein_coding",558333,"LIM domain 7b [Source:ZFIN;Acc:ZDB-GENE-060825-242]"
"ENSDARG00000053542","ENSDARG00000053542","kctd12.2","protein_coding",553403,"potassium channel tetramerisation domain containing 12.2 [Source:ZFIN;Acc:ZDB-GENE-060117-4]"
"ENSDARG00000053544","ENSDARG00000053544","hspa4l","protein_coding",562019,"heat shock protein 4 like [Source:ZFIN;Acc:ZDB-GENE-030131-2412]"
"ENSDARG00000053547","ENSDARG00000053547","jakmip2","protein_coding",559839,"janus kinase and microtubule interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-091204-293]"
"ENSDARG00000053554","ENSDARG00000053554","wdr76","protein_coding",570063,"WD repeat domain 76 [Source:ZFIN;Acc:ZDB-GENE-030131-4513]"
"ENSDARG00000053558","ENSDARG00000053558","rtkn2a","protein_coding",449666,"rhotekin 2a [Source:ZFIN;Acc:ZDB-GENE-041010-225]"
"ENSDARG00000053559","ENSDARG00000053559","tspan3b","protein_coding",569864,"tetraspanin 3b [Source:ZFIN;Acc:ZDB-GENE-070424-42]"
"ENSDARG00000053563","ENSDARG00000053563","ms4a17a.12","protein_coding",103908665,"membrane-spanning 4-domains, subfamily A, member 17A.12 [Source:ZFIN;Acc:ZDB-GENE-080829-4]"
"ENSDARG00000053568","ENSDARG00000053568","pstpip1b","protein_coding",641582,"proline-serine-threonine phosphatase interacting protein 1b [Source:ZFIN;Acc:ZDB-GENE-051127-25]"
"ENSDARG00000053569","ENSDARG00000053569","sox3","protein_coding",30529,"SRY (sex determining region Y)-box 3 [Source:ZFIN;Acc:ZDB-GENE-980526-333]"
"ENSDARG00000053571","ENSDARG00000053571","adob","protein_coding",406474,"2-aminoethanethiol (cysteamine) dioxygenase b [Source:ZFIN;Acc:ZDB-GENE-040426-2267]"
"ENSDARG00000053574","ENSDARG00000053574","fancd2","protein_coding",394241,"FA complementation group D2 [Source:ZFIN;Acc:ZDB-GENE-040116-5]"
"ENSDARG00000053575","ENSDARG00000053575","gpat2","protein_coding",558437,"glycerol-3-phosphate acyltransferase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-050309-118]"
"ENSDARG00000053580","ENSDARG00000053580","htr1fb","protein_coding",100004819,"5-hydroxytryptamine (serotonin) receptor 1Fb [Source:ZFIN;Acc:ZDB-GENE-090312-140]"
"ENSDARG00000053583","ENSDARG00000053583","cers6","protein_coding",564867,"ceramide synthase 6 [Source:ZFIN;Acc:ZDB-GENE-070522-1]"
"ENSDARG00000053586","ENSDARG00000053586","creb1a","protein_coding",573207,"cAMP responsive element binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-040426-750]"
"ENSDARG00000053609","ENSDARG00000053609","gatd1","protein_coding",100148360,"glutamine amidotransferase like class 1 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-051030-96]"
"ENSDARG00000053617","ENSDARG00000053617","camk2a","protein_coding",550436,"calcium/calmodulin-dependent protein kinase II alpha [Source:ZFIN;Acc:ZDB-GENE-051113-72]"
"ENSDARG00000053619","ENSDARG00000053619","sra1","protein_coding",415137,"steroid receptor RNA activator 1 [Source:ZFIN;Acc:ZDB-GENE-040625-6]"
"ENSDARG00000053620","ENSDARG00000053620","ebi3","protein_coding",100134974,"Epstein-Barr virus induced 3 [Source:ZFIN;Acc:ZDB-GENE-070912-615]"
"ENSDARG00000053624","ENSDARG00000053624","csf1rb","protein_coding",568405,"colony stimulating factor 1 receptor, b [Source:ZFIN;Acc:ZDB-GENE-091118-1]"
"ENSDARG00000053625","ENSDARG00000053625","anxa2b","protein_coding",799806,"annexin A2b [Source:ZFIN;Acc:ZDB-GENE-030131-1089]"
"ENSDARG00000053630","ENSDARG00000053630","si:dkey-182o15.5","protein_coding",555755,"si:dkey-182o15.5 [Source:ZFIN;Acc:ZDB-GENE-160728-6]"
"ENSDARG00000053636","ENSDARG00000053636","cracr2b","protein_coding",790936,"calcium release activated channel regulator 2B [Source:ZFIN;Acc:ZDB-GENE-061215-136]"
"ENSDARG00000053644","ENSDARG00000053644","got1l1","protein_coding",791730,"glutamic-oxaloacetic transaminase 1 like 1 [Source:ZFIN;Acc:ZDB-GENE-060929-556]"
"ENSDARG00000053646","ENSDARG00000053646","adrb3a","protein_coding",558248,"adrenoceptor beta 3a [Source:ZFIN;Acc:ZDB-GENE-080917-21]"
"ENSDARG00000053648","ENSDARG00000053648","or135-1","protein_coding",797763,"odorant receptor, family H, subfamily 135, member 1 [Source:ZFIN;Acc:ZDB-GENE-070806-32]"
"ENSDARG00000053650","ENSDARG00000053650","foxb1b","protein_coding",799571,"forkhead box B1b [Source:ZFIN;Acc:ZDB-GENE-990415-77]"
"ENSDARG00000053652","ENSDARG00000053652","ndufaf6","protein_coding",569692,"NADH:ubiquinone oxidoreductase complex assembly factor 6 [Source:ZFIN;Acc:ZDB-GENE-100112-1]"
"ENSDARG00000053656","ENSDARG00000053656","lypla2","protein_coding",393722,"lysophospholipase II [Source:ZFIN;Acc:ZDB-GENE-040426-1715]"
"ENSDARG00000053665","ENSDARG00000053665","gabrg2","protein_coding",553402,"gamma-aminobutyric acid (GABA) A receptor, gamma 2 [Source:ZFIN;Acc:ZDB-GENE-091118-65]"
"ENSDARG00000053666","ENSDARG00000053666","myb","protein_coding",30519,"v-myb avian myeloblastosis viral oncogene homolog [Source:ZFIN;Acc:ZDB-GENE-991110-14]"
"ENSDARG00000053668","ENSDARG00000053668","stag2b","protein_coding",560751,"stromal antigen 2b [Source:ZFIN;Acc:ZDB-GENE-030131-2785]"
"ENSDARG00000053684","ENSDARG00000053684","aldob","protein_coding",321664,"aldolase b, fructose-bisphosphate [Source:ZFIN;Acc:ZDB-GENE-030131-383]"
"ENSDARG00000053685","ENSDARG00000053685","gtf2a2","protein_coding",798997,"general transcription factor IIA, 2 [Source:ZFIN;Acc:ZDB-GENE-050522-513]"
"ENSDARG00000053691","ENSDARG00000053691","maea","protein_coding",321575,"macrophage erythroblast attacher [Source:ZFIN;Acc:ZDB-GENE-030131-294]"
"ENSDARG00000053695","ENSDARG00000053695","zgc:162948","protein_coding",797781,"zgc:162948 [Source:ZFIN;Acc:ZDB-GENE-070424-46]"
"ENSDARG00000053702","ENSDARG00000053702","il2rgb","protein_coding",100144554,"interleukin 2 receptor, gamma b [Source:ZFIN;Acc:ZDB-GENE-080402-2]"
"ENSDARG00000053708","ENSDARG00000053708","ghrhrb","protein_coding",792410,"growth hormone releasing hormone receptor b [Source:ZFIN;Acc:ZDB-GENE-110127-2]"
"ENSDARG00000053709","ENSDARG00000053709","si:ch73-89b15.3","protein_coding",100334697,"si:ch73-89b15.3 [Source:ZFIN;Acc:ZDB-GENE-141212-224]"
"ENSDARG00000053711","ENSDARG00000053711","GPR68","protein_coding",799203,"G protein-coupled receptor 68 [Source:HGNC Symbol;Acc:HGNC:4519]"
"ENSDARG00000053713","ENSDARG00000053713","ccdc88c","protein_coding",553231,"coiled-coil domain containing 88C [Source:ZFIN;Acc:ZDB-GENE-100419-3]"
"ENSDARG00000053716","ENSDARG00000053716","zgc:153990","protein_coding",768125,"zgc:153990 [Source:ZFIN;Acc:ZDB-GENE-061013-144]"
"ENSDARG00000053724","ENSDARG00000053724","CR853299.1","protein_coding",555473,"adenylate cyclase activating polypeptide 1b (pituitary) receptor type I [Source:NCBI gene;Acc:555473]"
"ENSDARG00000053728","ENSDARG00000053728","ttll3","protein_coding",724000,"tubulin tyrosine ligase-like family, member 3 [Source:ZFIN;Acc:ZDB-GENE-060616-182]"
"ENSDARG00000053744","ENSDARG00000053744","dcdc2b","protein_coding",563259,"doublecortin domain containing 2B [Source:ZFIN;Acc:ZDB-GENE-051113-124]"
"ENSDARG00000053746","ENSDARG00000053746","CABZ01084566.1","protein_coding",100331149,"oxysterol-binding protein-related protein 1-like [Source:NCBI gene;Acc:100331149]"
"ENSDARG00000053753","ENSDARG00000053753","mff","protein_coding",393508,"mitochondrial fission factor [Source:ZFIN;Acc:ZDB-GENE-040426-1510]"
"ENSDARG00000053761","ENSDARG00000053761","si:dkey-187j14.4","protein_coding",100006655,"si:dkey-187j14.4 [Source:ZFIN;Acc:ZDB-GENE-131119-26]"
"ENSDARG00000053771","ENSDARG00000053771","apbb3","protein_coding",101883158,"amyloid beta (A4) precursor protein-binding, family B, member 3 [Source:ZFIN;Acc:ZDB-GENE-140106-53]"
"ENSDARG00000053773","ENSDARG00000053773","vgll2b","protein_coding",606659,"vestigial-like family member 2b [Source:ZFIN;Acc:ZDB-GENE-050809-113]"
"ENSDARG00000053774","ENSDARG00000053774","alpi.2","protein_coding",574009,"alkaline phosphatase, intestinal, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050626-142]"
"ENSDARG00000053779","ENSDARG00000053779","si:ch211-218m3.13","protein_coding",100151039,"si:ch211-218m3.13 [Source:ZFIN;Acc:ZDB-GENE-091113-55]"
"ENSDARG00000053792","ENSDARG00000053792","si:rp71-1g18.1","protein_coding",559922,"si:rp71-1g18.1 [Source:ZFIN;Acc:ZDB-GENE-030131-5470]"
"ENSDARG00000053800","ENSDARG00000053800","si:ch211-276c2.4","protein_coding",321704,"si:ch211-276c2.4 [Source:ZFIN;Acc:ZDB-GENE-030131-423]"
"ENSDARG00000053802","ENSDARG00000053802","cbln5","protein_coding",100007371,"cerebellin 5 [Source:ZFIN;Acc:ZDB-GENE-070912-577]"
"ENSDARG00000053803","ENSDARG00000053803","klhl43","protein_coding",570492,"kelch-like family member 43 [Source:ZFIN;Acc:ZDB-GENE-141212-285]"
"ENSDARG00000053804","ENSDARG00000053804","osbpl2a","protein_coding",557483,"oxysterol binding protein-like 2a [Source:ZFIN;Acc:ZDB-GENE-091116-46]"
"ENSDARG00000053805","ENSDARG00000053805","trub1","protein_coding",556642,"TruB pseudouridine (psi) synthase family member 1 [Source:ZFIN;Acc:ZDB-GENE-080723-73]"
"ENSDARG00000053810","ENSDARG00000053810","hnrnpc","protein_coding",406352,"heterogeneous nuclear ribonucleoprotein C [Source:ZFIN;Acc:ZDB-GENE-040426-2043]"
"ENSDARG00000053820","ENSDARG00000053820","pcmtd2","protein_coding",556012,"protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-060312-14]"
"ENSDARG00000053828","ENSDARG00000053828","ubxn11","protein_coding",569134,"UBX domain protein 11 [Source:ZFIN;Acc:ZDB-GENE-100922-125]"
"ENSDARG00000053829","ENSDARG00000053829","pax9","protein_coding",30558,"paired box 9 [Source:ZFIN;Acc:ZDB-GENE-980526-399]"
"ENSDARG00000053831","ENSDARG00000053831","vtnb","protein_coding",403026,"vitronectin b [Source:ZFIN;Acc:ZDB-GENE-041116-1]"
"ENSDARG00000053833","ENSDARG00000053833","mtnr1ba","protein_coding",30669,"melatonin receptor type 1Ba [Source:ZFIN;Acc:ZDB-GENE-990415-157]"
"ENSDARG00000053835","ENSDARG00000053835","plekhh1","protein_coding",565914,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 1 [Source:ZFIN;Acc:ZDB-GENE-061219-1]"
"ENSDARG00000053836","ENSDARG00000053836","si:ch211-284o19.8","protein_coding",100007937,"si:ch211-284o19.8 [Source:ZFIN;Acc:ZDB-GENE-070912-289]"
"ENSDARG00000053840","ENSDARG00000053840","ei24","protein_coding",550597,"etoposide induced 2.4 [Source:ZFIN;Acc:ZDB-GENE-050417-457]"
"ENSDARG00000053845","ENSDARG00000053845","cbln14","protein_coding",100007164,"cerebellin 14 [Source:ZFIN;Acc:ZDB-GENE-040724-5]"
"ENSDARG00000053853","ENSDARG00000053853","slc13a2","protein_coding",406537,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2389]"
"ENSDARG00000053854","ENSDARG00000053854","uts2a","protein_coding",405774,"urotensin 2, alpha [Source:ZFIN;Acc:ZDB-GENE-040630-11]"
"ENSDARG00000053857","ENSDARG00000053857","ccdc187","protein_coding",100037381,"coiled-coil domain containing 187 [Source:ZFIN;Acc:ZDB-GENE-070410-81]"
"ENSDARG00000053858","ENSDARG00000053858","crip1","protein_coding",541319,"cysteine-rich protein 1 [Source:ZFIN;Acc:ZDB-GENE-041111-1]"
"ENSDARG00000053859","ENSDARG00000053859","ism2b","protein_coding",553163,"isthmin 2b [Source:ZFIN;Acc:ZDB-GENE-050523-4]"
"ENSDARG00000053862","ENSDARG00000053862","crygmx","protein_coding",335789,"crystallin, gamma MX [Source:ZFIN;Acc:ZDB-GENE-030131-7732]"
"ENSDARG00000053864","ENSDARG00000053864","elmsan1b","protein_coding",560411,"ELM2 and Myb/SANT-like domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-131121-13]"
"ENSDARG00000053868","ENSDARG00000053868","etv2","protein_coding",555766,"ets variant 2 [Source:ZFIN;Acc:ZDB-GENE-050622-14]"
"ENSDARG00000053875","ENSDARG00000053875","cryba1b","protein_coding",436859,"crystallin, beta A1b [Source:ZFIN;Acc:ZDB-GENE-040718-326]"
"ENSDARG00000053876","ENSDARG00000053876","klhl26","protein_coding",558035,"kelch-like family member 26 [Source:ZFIN;Acc:ZDB-GENE-030131-5975]"
"ENSDARG00000053877","ENSDARG00000053877","cpdb","protein_coding",555848,"carboxypeptidase D, b [Source:ZFIN;Acc:ZDB-GENE-060929-1270]"
"ENSDARG00000053878","ENSDARG00000053878","inpp5l","protein_coding",641571,"inositol polyphosphate-5-phosphatase L [Source:ZFIN;Acc:ZDB-GENE-051127-29]"
"ENSDARG00000053884","ENSDARG00000053884","med13a","protein_coding",100004024,"mediator complex subunit 13a [Source:ZFIN;Acc:ZDB-GENE-070627-13]"
"ENSDARG00000053890","ENSDARG00000053890","tmem62","protein_coding",402997,"transmembrane protein 62 [Source:ZFIN;Acc:ZDB-GENE-040426-1837]"
"ENSDARG00000053896","ENSDARG00000053896","slc30a1b","protein_coding",100038803,"solute carrier family 30 (zinc transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-070424-43]"
"ENSDARG00000053906","ENSDARG00000053906","angpt2b","protein_coding",114408,"angiopoietin 2b [Source:ZFIN;Acc:ZDB-GENE-010817-2]"
"ENSDARG00000053912","ENSDARG00000053912","fbl","protein_coding",406275,"fibrillarin [Source:ZFIN;Acc:ZDB-GENE-040426-1936]"
"ENSDARG00000053917","ENSDARG00000053917","alg10","protein_coding",100331575,"asparagine-linked glycosylation 10 [Source:ZFIN;Acc:ZDB-GENE-110310-8]"
"ENSDARG00000053918","ENSDARG00000053918","srfa","protein_coding",30431,"serum response factor a [Source:ZFIN;Acc:ZDB-GENE-990714-29]"
"ENSDARG00000053928","ENSDARG00000053928","si:dkey-117a8.3","protein_coding",NA,"si:dkey-117a8.3 [Source:ZFIN;Acc:ZDB-GENE-131121-476]"
"ENSDARG00000053929","ENSDARG00000053929","opn4b","protein_coding",100884131,"opsin 4b [Source:ZFIN;Acc:ZDB-GENE-080415-3]"
"ENSDARG00000053934","ENSDARG00000053934","hdhd3","protein_coding",553464,"haloacid dehalogenase-like hydrolase domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-040724-118]"
"ENSDARG00000053938","ENSDARG00000053938","si:ch211-137j23.8","protein_coding",NA,"si:ch211-137j23.8 [Source:ZFIN;Acc:ZDB-GENE-131121-611]"
"ENSDARG00000053939","ENSDARG00000053939","tgfa","protein_coding",100034402,"transforming growth factor, alpha [Source:ZFIN;Acc:ZDB-GENE-040724-208]"
"ENSDARG00000053940","ENSDARG00000053940","btr32","protein_coding",678629,"bloodthirsty-related gene family, member 32 [Source:ZFIN;Acc:ZDB-GENE-060421-3827]"
"ENSDARG00000053950","ENSDARG00000053950","lin37","protein_coding",550587,"lin-37 DREAM MuvB core complex component [Source:ZFIN;Acc:ZDB-GENE-050417-446]"
"ENSDARG00000053953","ENSDARG00000053953","myadml2","protein_coding",570494,"myeloid-associated differentiation marker-like 2 [Source:ZFIN;Acc:ZDB-GENE-120807-3]"
"ENSDARG00000053956","ENSDARG00000053956","sptbn2","protein_coding",558044,"spectrin, beta, non-erythrocytic 2 [Source:ZFIN;Acc:ZDB-GENE-030131-787]"
"ENSDARG00000053959","ENSDARG00000053959","cdc42ep2","protein_coding",541404,"CDC42 effector protein (Rho GTPase binding) 2 [Source:ZFIN;Acc:ZDB-GENE-050320-104]"
"ENSDARG00000053961","ENSDARG00000053961","slc2a11a","protein_coding",560358,"solute carrier family 2 (facilitated glucose transporter), member 11a [Source:ZFIN;Acc:ZDB-GENE-080723-20]"
"ENSDARG00000053963","ENSDARG00000053963","npm2b","protein_coding",555786,"nucleophosmin/nucleoplasmin, 2b [Source:ZFIN;Acc:ZDB-GENE-070410-125]"
"ENSDARG00000053966","ENSDARG00000053966","cyp17a2","protein_coding",796487,"cytochrome P450, family 17, subfamily A, polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-100822-1]"
"ENSDARG00000053973","ENSDARG00000053973","fetub","protein_coding",569489,"fetuin B [Source:ZFIN;Acc:ZDB-GENE-050208-4]"
"ENSDARG00000053979","ENSDARG00000053979","chmp2a","protein_coding",798901,"charged multivesicular body protein 2A [Source:ZFIN;Acc:ZDB-GENE-040426-2922]"
"ENSDARG00000053987","ENSDARG00000053987","htr1b","protein_coding",561647,"5-hydroxytryptamine (serotonin) receptor 1B [Source:ZFIN;Acc:ZDB-GENE-081022-141]"
"ENSDARG00000053990","ENSDARG00000053990","hmgb2b","protein_coding",447936,"high mobility group box 2b [Source:ZFIN;Acc:ZDB-GENE-040912-122]"
"ENSDARG00000053992","ENSDARG00000053992","sfi1","protein_coding",560147,"SFI1 centrin binding protein [Source:ZFIN;Acc:ZDB-GENE-080206-4]"
"ENSDARG00000053995","ENSDARG00000053995","gpank1","protein_coding",100126023,"G patch domain and ankyrin repeats 1 [Source:ZFIN;Acc:ZDB-GENE-070928-32]"
"ENSDARG00000054003","ENSDARG00000054003","rargb","protein_coding",100034753,"retinoic acid receptor, gamma b [Source:ZFIN;Acc:ZDB-GENE-070314-1]"
"ENSDARG00000054007","ENSDARG00000054007","ppp1r2","protein_coding",402967,"protein phosphatase 1, regulatory (inhibitor) subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1814]"
"ENSDARG00000054010","ENSDARG00000054010","scaf1","protein_coding",553490,"SR-related CTD-associated factor 1 [Source:ZFIN;Acc:ZDB-GENE-120215-214]"
"ENSDARG00000054023","ENSDARG00000054023","ttll6","protein_coding",564075,"tubulin tyrosine ligase-like family, member 6 [Source:ZFIN;Acc:ZDB-GENE-080107-1]"
"ENSDARG00000054025","ENSDARG00000054025","hoxb8b","protein_coding",30420,"homeobox B8b [Source:ZFIN;Acc:ZDB-GENE-980526-291]"
"ENSDARG00000054026","ENSDARG00000054026","mustn1a","protein_coding",559807,"musculoskeletal, embryonic nuclear protein 1a [Source:ZFIN;Acc:ZDB-GENE-111129-3]"
"ENSDARG00000054030","ENSDARG00000054030","hoxb5b","protein_coding",58052,"homeobox B5b [Source:ZFIN;Acc:ZDB-GENE-000823-6]"
"ENSDARG00000054031","ENSDARG00000054031","mxd4","protein_coding",559531,"MAX dimerization protein 4 [Source:ZFIN;Acc:ZDB-GENE-050208-44]"
"ENSDARG00000054032","ENSDARG00000054032","rab24","protein_coding",574423,"RAB24, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-050706-110]"
"ENSDARG00000054033","ENSDARG00000054033","hoxb1b","protein_coding",30374,"homeobox B1b [Source:ZFIN;Acc:ZDB-GENE-980526-290]"
"ENSDARG00000054036","ENSDARG00000054036","rnf34b","protein_coding",568879,"ring finger protein 34b [Source:ZFIN;Acc:ZDB-GENE-071004-31]"
"ENSDARG00000054048","ENSDARG00000054048","plin1","protein_coding",100034463,"perilipin 1 [Source:ZFIN;Acc:ZDB-GENE-050419-213]"
"ENSDARG00000054050","ENSDARG00000054050","vsig8a","protein_coding",550503,"V-set and immunoglobulin domain containing 8a [Source:ZFIN;Acc:ZDB-GENE-050417-338]"
"ENSDARG00000054054","ENSDARG00000054054","zgc:153219","protein_coding",767641,"zgc:153219 [Source:ZFIN;Acc:ZDB-GENE-060929-144]"
"ENSDARG00000054055","ENSDARG00000054055","ostn","protein_coding",100333936,"osteocrin [Source:ZFIN;Acc:ZDB-GENE-121211-2]"
"ENSDARG00000054058","ENSDARG00000054058","h1fx","protein_coding",322508,"H1 histone family, member X [Source:ZFIN;Acc:ZDB-GENE-030131-1228]"
"ENSDARG00000054060","ENSDARG00000054060","pof1b","protein_coding",564098,"POF1B, actin binding protein [Source:ZFIN;Acc:ZDB-GENE-030131-4287]"
"ENSDARG00000054063","ENSDARG00000054063","arpc4","protein_coding",114456,"actin related protein 2/3 complex, subunit 4 [Source:ZFIN;Acc:ZDB-GENE-010724-9]"
"ENSDARG00000054076","ENSDARG00000054076","tatdn3","protein_coding",553592,"TatD DNase domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-050522-192]"
"ENSDARG00000054087","ENSDARG00000054087","irs1","protein_coding",559281,"insulin receptor substrate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-872]"
"ENSDARG00000054096","ENSDARG00000054096","rbm41","protein_coding",492764,"RNA binding motif protein 41 [Source:ZFIN;Acc:ZDB-GENE-041114-107]"
"ENSDARG00000054103","ENSDARG00000054103","ripply1","protein_coding",654446,"ripply transcriptional repressor 1 [Source:ZFIN;Acc:ZDB-GENE-060113-1]"
"ENSDARG00000054122","ENSDARG00000054122","tmem30b","protein_coding",431726,"transmembrane protein 30B [Source:ZFIN;Acc:ZDB-GENE-040704-17]"
"ENSDARG00000054124","ENSDARG00000054124","htr1d","protein_coding",556429,"5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled [Source:ZFIN;Acc:ZDB-GENE-090409-3]"
"ENSDARG00000054127","ENSDARG00000054127","slc26a6l","protein_coding",559448,"solute carrier family 26, member 6, like [Source:ZFIN;Acc:ZDB-GENE-080220-10]"
"ENSDARG00000054128","ENSDARG00000054128","im:7136021","protein_coding",100002065,"im:7136021 [Source:ZFIN;Acc:ZDB-GENE-041008-74]"
"ENSDARG00000054136","ENSDARG00000054136","ccdc105","protein_coding",565570,"coiled-coil domain containing 105 [Source:ZFIN;Acc:ZDB-GENE-131121-219]"
"ENSDARG00000054137","ENSDARG00000054137","adgrg6","protein_coding",561970,"adhesion G protein-coupled receptor G6 [Source:ZFIN;Acc:ZDB-GENE-041014-357]"
"ENSDARG00000054150","ENSDARG00000054150","cx23","protein_coding",541419,"connexin 23 [Source:ZFIN;Acc:ZDB-GENE-050320-121]"
"ENSDARG00000054152","ENSDARG00000054152","nmbr","protein_coding",561834,"neuromedin B receptor [Source:ZFIN;Acc:ZDB-GENE-041014-369]"
"ENSDARG00000054153","ENSDARG00000054153","ftr50","protein_coding",100001445,"finTRIM family, member 50 [Source:ZFIN;Acc:ZDB-GENE-080215-17]"
"ENSDARG00000054154","ENSDARG00000054154","bms1","protein_coding",553241,"BMS1 ribosome biogenesis factor [Source:ZFIN;Acc:ZDB-GENE-060720-2]"
"ENSDARG00000054155","ENSDARG00000054155","pcna","protein_coding",30678,"proliferating cell nuclear antigen [Source:ZFIN;Acc:ZDB-GENE-000210-8]"
"ENSDARG00000054160","ENSDARG00000054160","zgc:113625","protein_coding",553227,"zgc:113625 [Source:ZFIN;Acc:ZDB-GENE-050320-47]"
"ENSDARG00000054162","ENSDARG00000054162","nfatc4","protein_coding",561682,"nuclear factor of activated T cells 4 [Source:ZFIN;Acc:ZDB-GENE-070912-659]"
"ENSDARG00000054164","ENSDARG00000054164","mrps17","protein_coding",553580,"mitochondrial ribosomal protein S17 [Source:ZFIN;Acc:ZDB-GENE-050522-390]"
"ENSDARG00000054170","ENSDARG00000054170","ltb4r2b","protein_coding",100537296,"leukotriene B4 receptor 2b [Source:ZFIN;Acc:ZDB-GENE-070912-658]"
"ENSDARG00000054172","ENSDARG00000054172","pgrmc1","protein_coding",492520,"progesterone receptor membrane component 1 [Source:ZFIN;Acc:ZDB-GENE-041114-91]"
"ENSDARG00000054177","ENSDARG00000054177","adgra1a","protein_coding",560847,"adhesion G protein-coupled receptor A1a [Source:ZFIN;Acc:ZDB-GENE-130603-101]"
"ENSDARG00000054181","ENSDARG00000054181","valopb","protein_coding",560921,"vertebrate ancient long opsin b [Source:ZFIN;Acc:ZDB-GENE-040724-41]"
"ENSDARG00000054184","ENSDARG00000054184","btr06","protein_coding",100151764,"bloodthirsty-related gene family, member 6 [Source:ZFIN;Acc:ZDB-GENE-080516-2]"
"ENSDARG00000054186","ENSDARG00000054186","ncs1b","protein_coding",553174,"neuronal calcium sensor 1b [Source:ZFIN;Acc:ZDB-GENE-050930-1]"
"ENSDARG00000054191","ENSDARG00000054191","pgk1","protein_coding",406696,"phosphoglycerate kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2711]"
"ENSDARG00000054196","ENSDARG00000054196","slc38a8b","protein_coding",795255,"solute carrier family 38, member 8b [Source:ZFIN;Acc:ZDB-GENE-121005-6]"
